       Price | Rating       |        Pages |   Unit Value | Title       
     19.89zł | 5.00       |         64 |       0.06zł | Mi o   ci wszystko wykracze. Arlo i Pips. Tom 3
     19.93zł | 5.00       |         64 |       0.06zł | Czas gigant w, czyli dinozaury jury. Nauka z komiksem. Era dinozaur w. Tom 2
     20.11zł | 5.00       |        216 |       0.02zł | Pta ka    
     45.99zł | 4.80       |        272 |       0.04zł | Nimona    
     67.36zł | 4.50       |        320 |       0.05zł | Venom. Tom 3
     46.18zł | 5.00       |         64 |       0.14zł | Ter. Przewodnik. Tom 2
     19.94zł | 4.00       |         48 |       0.10zł | Bestia powraca! Magiczna 7. Tom 3
     17.09zł | 4.00       |         64 |       0.07zł | Kr lewna  nie ka i siedmiu krasnoludk w
     38.94zł | 5.00       |        112 |       0.07zł | Prosto w ogie . Stranger Things. Tom 3
     38.94zł | 4.50       |         96 |       0.09zł | Po drugiej stronie. Stranger Things. Tom 1
     40.49zł | 4.60       |        220 |       0.04zł | Martwy Punkt Pr ba obserwatora
     20.19zł | 4.70       |        206 |       0.02zł | Pe ne zanurzenie. InwestyGatory. Tom 2
     33.68zł | 4.00       |        120 |       0.07zł | Kres wojny. Thor. Tom 3
     24.40zł | 4.00       |        144 |       0.04zł | Ciep o, cieplej… zimno! Cedryk. Tom 1
     59.79zł | 3.80       |        272 |       0.06zł | Gwiezdny Port Powie   Graficzna
     25.72zł | 5.00       |         32 |       0.16zł | W puszczy. O czym szumi  wierzby. Tom 1
     22.80zł | 5.00       |         64 |       0.07zł | Metro Baker Street.  ledztwa Enoli Holmes. Tom 6
     22.80zł | 4.30       |         60 |       0.09zł | Pami tniki Wisienki i Walentyna. Tom 1
     23.77zł | 5.00       |         28 |       0.17zł | Arcygro ne Domostwory. Mika i wyjec
     22.96zł | 4.00       |         32 |       0.18zł | Dzielny Kosmatek Super Kosmatek
     15.25zł | 4.30       |         48 |       0.07zł | Uparty Ikar. Mali Bogowie. Tom 2
     87.57zł | 5.00       |        436 |       0.04zł | Znany diabe . BBPO
     30.64zł | 4.00       |         40 |       0.19zł | Duchy w chmurach. Hotel dziwny. Tom 4
     19.65zł | 4.70       |        184 |       0.02zł | Kod Orcale
     67.36zł | 4.50       |        340 |       0.04zł | Hitman. Tom 4
     25.25zł | 4.70       |        273 |       0.02zł | Trasa promocyjna
     15.22zł | 4.00       |         48 |       0.08zł | Parada przypa  w. Lil i Put. Tom 5
     12.19zł | 4.50       |         64 |       0.04zł | Smerf naczelnik. Przygody Smerf w. Tom 2
     45.41zł | 4.50       |        124 |       0.08zł | Divinity  
     30.23zł | 4.00       |        132 |       0.06zł | Inhumans kontra X-Men. Extraordinary X-Men. Tom 4
     35.81zł | 3.00       |        180 |       0.07zł | Czas Nienawi ci. Tom 1
     42.37zł | 3.00       |        176 |       0.08zł | 9 Godzin  
     15.13zł | 4.50       |        272 |       0.01zł | Ostatnie dzieciaki na Ziemi i co  kosmicznego. Ostatnie dzieciaki na Ziemi. Tom 4
     23.71zł | 4.00       |        144 |       0.04zł | Psi nos. Pty  i Bill. Tom 4
     51.00zł | 5.00       |        176 |       0.06zł | Narodziny z oczy cy. Zielony szersze . Tom 2
     30.64zł | 4.00       |         40 |       0.19zł |  piew Skrzekowyjca. Hotel Dziwny. Tom 2
     73.26zł | 4.00       |        200 |       0.09zł | Lanfeust z Troy. Tom 1
     26.54zł | 4.00       |        112 |       0.06zł | Bellmer Niebiografia
     15.22zł | 3.00       |         48 |       0.11zł | Czaruj ca panna m oda. Lil i Put. Tom 3
     13.00zł | 3.50       |         40 |       0.09zł | Smocza kraina. Krasnolud Nap. Tom 1
     45.60zł | 4.50       |        512 |       0.02zł | Niezwyk a historia Marvel Comics
     22.35zł | 5.00       |        384 |       0.01zł | Heartstopper. Tom 4
     29.54zł | 4.90       |        384 |       0.02zł | Heartstopper. Tom 3
     26.25zł | 5.00       |         90 |       0.06zł | Heartstopper. Ksi  ka pe na twoich kolor w
     29.31zł | 4.70       |        154 |       0.04zł | Heartstopper. Yearbook
     50.46zł | 4.00       |        160 |       0.08zł | Kraina Sn w. Sandman. Tom 3
     21.63zł | 4.50       |         48 |       0.10zł | Kajko i Kokosz. Opowie ci z Mirmi owa. Rozr by i romanse
     63.39zł | 4.50       |        264 |       0.05zł | Niezwyk e losy Sknerusa McKwacza. Wujek Sknerus
     25.23zł | 5.00       |         60 |       0.08zł | Redwin z Bractwa Ku ni.  wiat Akwilonu. Krasnoludy. Tom 1
     57.45zł | 4.50       |        192 |       0.07zł | Rze nia numer pi  , czyli krucjata dzieci ca
     25.23zł | 5.00       |         56 |       0.09zł | Kryszta  Niebieskich Elf w.  wiat Akwilonu. Elfy. Tom 1
     40.88zł | 4.30       |        364 |       0.03zł | Bloom     
    105.64zł | 5.00       |        312 |       0.07zł | Rorschach 
     32.83zł | 5.00       |        240 |       0.03zł | Let's Talk About It
     85.79zł | 4.80       |        540 |       0.03zł | Za oga promienia
     37.31zł | 4.50       |        208 |       0.04zł | Znajd  swoj  bratni  dusz . Klub smutnych duch w. Tom 1
     39.04zł | 4.40       |        256 |       0.03zł | Znajd  swoj  bratni  dusz . Klub smutnych duch w. Tom 2
     37.27zł | 4.40       |        240 |       0.04zł | Znajd  swoj  bratni  dusz . Klub smutnych duch w. Tom 3
     36.32zł | 4.50       |         72 |       0.11zł | Kajtek i Koko. Londy ski krymina 
     63.39zł | 4.70       |        248 |       0.05zł | Dotyk Midasa i inne historie z lat 1961–1962. Kaczogr d
     44.23zł | 5.00       |        176 |       0.05zł | Moja przyjaci ka Nore
     41.87zł | 4.90       |        224 |       0.04zł | Bia y ptak. Cudowny ch opak
     23.79zł | 4.60       |        176 |       0.03zł | Cruella. Czer , biel i czerwie 
     35.64zł | 5.00       |        320 |       0.02zł | Wszystkie moje queerowe chwile
     98.61zł | 4.70       |        352 |       0.06zł | Hellblazer. Tom 1
     29.06zł | 4.50       |         64 |       0.10zł | Agatha Christie. Miss Marple. Hotel Bertram
     28.03zł | 4.40       |        192 |       0.03zł | Zaginione weso e miasteczko. Opowie   o Dicku Graysonie
     32.83zł | 3.80       |        160 |       0.05zł | Loteria   
     22.49zł | 5.00       |         44 |       0.10zł | Szko a latania. Kajko i Kokosz
